,id do pedido,Origem,Destino
500,195724,29164-018,24415-000
501,196213,06703-001,71909-180
502,196544,82820-090,07031-000
503,197557,18043-003,32073-160
504,198675,03622-010,26383-060
505,198919,32242-310,03969-000
506,199660,02721-200,72016-150
507,199718,02721-200,29152-500
508,200212,23073-200,73368-440
509,201787,04715-002,29103-175
510,202835,90650-002,05550-000
511,203065,03622-010,24421-300
512,203159,90650-002,05550-000
513,203754,91790-042,12315-110
514,195484,04133-200,06840-095
515,195787,06703-001,13930-000
516,196802,03134-001,12233-090
517,197154,12010-150,12231-811
518,197969,04715-002,18410-010
519,198787,12010-150,13214-300
520,202158,04715-002,13418-050
521,202558,04715-002,06420190
522,203213,13403-000,02403-010
523,203802,04715-002,13509676
524,204445,12010-150,01002001
525,204363,09190-610,25710-290
526,196121,03622-010,90870-001
527,201949,03047-000,07221-010
528,193608,30710-010,36980-000
529,196221,35701-004,35900-480
530,198189,92120-140,95032-765
531,203914,91790-042,93222-260
532,200279,02513-020,21660-010
533,202163,12010-150,08675-360
534,193817,04715-002,12091-580
535,203963,04715-002,11680-000
536,195727,99025-604,95170-516
537,196621,12010-150,05862-220
538,195346,04715-002,08616-770
539,194262,13360-000,13847-194
540,195672,03711-007,12602-020
541,197966,03622-010,13252-579
542,203258,13101-150,08330-350
543,205175,06343-510,17123-204
544,196082,12010-150,13332-116
545,192687,12010-150,06950-000
546,197346,04344-010,01530-000
547,197729,13405-230,22281-900
548,193636,31255-100,38780-000
549,195824,12010-150,14080-210
550,192558,92120-140,09910-720
551,192871,04715-002,22611-190
552,193389,03622-010,90050-030
553,193506,03622-010,90050-030
554,193635,03622-010,90050-030
555,193689,03622-010,90050-030
556,194107,88117-402,90050-030
557,194139,03622-010,90050-030
558,194313,03622-010,24440-180
559,194629,40230-680,57062-590
560,194985,88117-402,80420-120
561,195668,29164-018,09195-310
562,196179,82820-090,13212-884
563,197803,09351-090,24804-781
564,197944,06075-180,90050-030
565,198426,03622-010,90050-030
566,198618,03622-010,90050-030
567,198743,04715-002,24350-380
568,199383,31030-035,03889-100
569,200016,82820-090,09423-110
570,200281,03622-010,90050-030
571,200903,35701-004,08633-435
572,201761,23073-200,11086-400
573,202565,04715-002,75460000
574,202716,90650-002,01231-010
575,202980,91790-042,88032-005
576,203320,03622-010,90050-030
577,203562,03622-010,90050-030
578,204039,03622-010,90050-030
579,204050,13101-150,90050-030
580,204162,35701-004,13170-741
581,204310,13101-150,24421-300
582,201786,09351-090,28635-350
583,192557,14701-550,15910-000
584,196460,03622-010,07417-395
585,199650,03221-000,05729-080
586,200278,03047-000,13329-120
587,201065,03047-000,18460-000
588,203064,35701-004,24421-300
589,205684,19800-130,13562-110
590,199422,02721-200,09050-210
591,195313,14701-550,14806-245
592,192633,04344-010,18170-000
593,195165,06703-001,05174-040
594,197152,12010-150,12231-811
595,199167,12010-150,26291-248
596,203051,04344-010,08840-030
597,204284,12010-150,09350-340
598,200059,02552-000,08740-040
599,198806,80220-031,85065-170
600,201528,37800-000,35430-286
601,192921,02419-030,12236-500
602,193863,04344-010,41640-410
603,194184,35701-004,42600-000
604,194222,72007-515,13216-000
605,194738,74430-120,30380-560
606,194816,82820-090,25745-701
607,195137,03711-007,43820-020
608,195409,72007-515,13088-658
609,195664,72007-515,01451-000
610,197728,72007-515,04543-000
611,198992,72252-098,07085-410
612,199231,74430-130,35701-373
613,199683,79004-430,03931-030
614,200457,72007-515,06421-060
615,200752,74430-120,79052-440
616,201205,31030-035,40830-450
617,201321,31030-035,40830-450
618,203450,35701-004,88040-600
619,203901,79004-430,80530-020
620,204183,74070-150,79052-564
621,198726,13403-000,22730-180
622,194704,35900-700,37480-000
623,196437,37500-176,03666-060
624,202776,37500-176,06020194
625,192495,14701-550,02618-120
626,192560,03989-010,12800-000
627,194740,04344-010,19880-000
628,200339,13405-230,13076-061
629,203331,04344-010,19063-140
630,202350,02552-000,12233-090
631,195112,04715-002,13060-052
632,195080,89204-635,89041-000
633,192623,04344-010,41342-165
634,192771,03989-010,42800-921
635,194023,35701-004,88075-500
636,194835,09351-090,41950-870
637,195665,72007-515,03373-090
638,197805,90650-002,24350-380
639,202255,72007-515,09854-570
640,203555,30421-284,74870-330
641,203934,79004-430,79823-370
642,195769,37500-176,09581-140
643,192507,03622-010,41270-000
644,192509,74430-120,32370-160
645,192510,79602-020,32370-160
646,192512,03622-010,13339-575
647,192522,03711-007,02442-090
648,192541,14021-000,01224-030
649,192542,29313-656,99440-000
650,192547,18043-003,71938-360
651,192549,03989-010,23090-630
652,192550,17507-400,37120-000
653,192555,13070-752,13506-203
654,192564,13800-700,02848-000
655,192576,99700-392,91370-000
656,192578,37500-176,65058-025
657,192586,06463-170,13485-204
658,192590,09351-090,40353-510
659,192598,13050-053,40353-510
660,192600,37800-000,40353-510
661,192601,06075-180,40353-510
662,192608,03989-010,14600-000
663,192615,18050-000,18207-603
664,192643,03622-010,06097-000
665,192665,14701-550,15900-000
666,192680,87209-046,26255-510
667,192683,23073-200,86160-000
668,192688,89210-145,90670-160
669,192700,03583-000,30431-008
670,192719,14701-550,07194-340
671,192720,13360-000,07194-340
672,192733,13800-700,18970-000
673,192736,14701-550,38010-240
674,192738,15130-025,70730-773
675,192747,18043-003,02017-001
676,192754,39480-000,31840-270
677,192760,37500-176,89887-000
678,192776,13800-700,18035-260
679,192783,86490-000,51150-400
680,192788,03622-010,18035-260
681,192790,09560-100,02124-000
682,192794,16204-061,83210-041
683,192802,96170-000,37410-000
684,192810,03711-007,31110-080
685,192818,89803-000,95720-000
686,192831,37500-176,85618-000
687,192840,03622-010,39300-000
688,192841,04133-200,04132-002
689,192844,74430-130,23035-290
690,192854,35900-700,98035-140
691,192856,03622-010,16201-106
692,192869,74430-120,26023-070
693,192874,03622-010,24890-000
694,192885,03622-010,35350-000
695,192895,90650-002,05327-000
696,192900,04344-010,03649-000
697,192910,14072-055,13401-541
698,192911,03622-010,81825-360
699,192916,02143-060,81265-010
700,192920,74430-120,20730-110
701,192925,13310-160,37514-000
702,192926,02721-200,05568-000
703,192928,15086-010,23545-003
704,192933,35300-102,40353-510
705,192945,06075-180,17830-000
706,192950,89803-000,37800-000
707,192968,03622-010,21920-330
708,192970,74430-130,70660-045
709,192977,06075-180,13537-000
710,192982,13360-000,40353-510
711,192983,03711-007,16370-000
712,193024,91790-042,39550-000
713,193030,88117-402,40387-060
714,193031,37500-176,40387-060
715,193032,13215-635,40387-060
716,193038,03526-000,03817-060
717,193043,23073-200,21750-000
718,193053,30570-050,39205-000
719,193054,13070-752,13301-140
720,193079,31030-035,36080-580
721,193081,03989-010,04152-100
722,193082,37800-000,22790-147
723,193083,89210-145,15030-560
724,193085,14701-550,18112-460
725,193112,18043-003,13333-460
726,193118,03622-010,02545-090
727,193139,15086-010,07093-040
728,193143,04160-120,04784-270
729,193159,74430-130,97545-081
730,193164,99025-604,68181-370
731,193165,03047-000,02724-000
732,193169,92120-140,91910-670
733,193194,04378-300,02929-000
734,193204,04685-004,05640-020
735,193205,92120-140,87160-000
736,193206,88117-402,87160-000
737,193214,90650-002,37701-171
738,193221,99025-604,29645-000
739,193224,82820-090,20930-010
740,193230,82820-090,86083-110
741,193233,12010-150,12233-090
742,193235,09540-030,06711-270
743,193238,91790-042,13280-382
744,193239,06463-170,84165-150
745,193272,09190-610,31710-400
746,193274,13070-752,04546-042
747,193277,74430-120,37026-560
748,193283,04256-177,77001-504
749,193302,74430-120,20730-110
750,193307,03345-000,07161-430
751,193308,96170-000,30550-460
752,193312,03989-010,99150-000
753,193328,74430-120,88270-000
754,193339,37800-000,14020-530
755,193340,86490-000,15880-000
756,193346,03711-007,15910-000
757,193355,18043-003,17509-170
758,193368,23073-200,24754-166
759,193377,14701-550,15385-000
760,193382,07910-040,36420-000
761,193395,03345-000,04230-030
762,193446,02143-060,50760-670
763,193452,74430-130,22775-060
764,193519,06075-180,29102-010
765,193524,06075-180,01241-010
766,193539,37500-176,04746-020
767,193545,03047-000,02167-080
768,193547,06075-180,62815-000
769,193549,03989-010,91920-520
770,193560,03622-010,95670-000
771,193563,02120-020,01224-030
772,193564,12010-150,48608-490
773,193566,14021-000,01224-030
774,193569,03047-000,01224-030
775,193576,79004-430,06454-050
776,193591,18043-003,23060-275
777,193603,14701-550,26290-675
778,193607,74430-120,36980-000
