,Unnamed: 0,id do pedido,Origem,Destino,Distancia
241,241,200186,23073-200,24812-086,91151.0
242,242,194315,35701-004,35400-000,204719.1
243,243,195516,39480-000,37778-000,1074046.8
244,244,196380,90650-002,96540-000,253733.1
245,245,198347,31030-035,37778-000,449548.3
246,246,198635,39480-000,37778-000,1074046.8
247,247,199145,37800-000,35148-000,715426.5
248,248,203052,35701-004,35148-000,339697.3
249,249,194310,29164-018,28013-023,257493.7
250,250,194413,88117-402,88048-417,21193.9
251,251,195340,04715-002,04076-010,7236.8
252,252,192537,12010-150,09770-190,149525.7
253,253,192545,13070-752,12322-310,138112.9
254,254,192617,12010-150,37130-181,248424.5
255,255,192701,03622-010,11672-000,168416.1
256,256,192758,04715-002,17340-000,291596.3
257,257,192830,04344-010,13990-000,203696.0
258,258,192985,13070-752,15010-030,347050.8
259,259,193550,04715-002,16403-015,429547.6
260,260,193551,13405-230,16403-015,315519.8
261,261,193812,14701-550,13329-350,312715.1
262,262,193852,12010-150,18040-435,225391.4
263,263,193910,03526-000,18180-000,173000.0
264,264,193961,12010-150,04543-000,137915.6
265,265,194026,13310-160,06310-160,74437.3
266,266,194037,13403-000,15700-114,455962.7
267,267,194038,13070-752,15700-114,498019.4
268,268,194897,12010-150,09920-200,144902.6
269,269,194983,03134-001,09990-195,16882.5
270,270,195211,14405-268,38184-044,169018.3
271,271,195673,04715-002,06230-092,20196.7
272,272,195784,12010-150,12630-000,79211.5
273,273,195812,04715-002,19470-000,653792.4
274,274,195972,04344-010,09760-280,16866.7
275,275,196367,04715-002,07776-395,46880.8
276,276,196632,04715-002,13400-186,165413.9
277,277,196676,04715-002,17050-621,329695.9
278,278,197339,12010-150,05813-070,146798.2
279,279,197867,06343-510,18270-820,126115.8
280,280,198434,04715-002,12490-000,214290.7
281,281,198519,14701-550,06826-510,393093.0
282,282,199105,04715-002,18690-000,229693.6
283,283,199293,12010-150,37553-408,136160.6
284,284,200048,03526-000,02555-110,22802.6
285,285,200344,02552-000,14787-040,419992.4
286,286,200347,13184-691,02310-060,113094.6
287,287,200671,14085-620,07700-230,294845.3
288,288,200678,04715-002,06243-060,23569.7
289,289,202429,04715-002,04470185,15377.5
290,290,203440,12010-150,02334080,128984.4
291,291,203709,04715-002,07224-030,35474.6
292,292,203878,04715-002,15828000,398692.3
293,293,203943,12010-150,37701-289,241134.2
294,294,204195,09351-090,01539000,29197.0
295,295,204407,04715-002,12970000,127537.7
296,296,204495,03526-000,12245-030,85953.1
297,297,204644,04344-010,17280-000,322743.3
298,298,193033,92120-140,92025-840,5154.2
299,299,193077,04715-002,04678-105,6115.4
300,300,193078,03345-000,04678-105,19525.1
301,301,194102,92120-140,90050-030,18732.6
302,302,194326,92120-140,90050-030,18732.6
303,303,194327,92120-140,90050-030,18732.6
304,304,194880,02552-000,01239-020,7742.6
305,305,194888,02552-000,01239-020,7742.6
306,306,194958,03221-000,01414-902,16607.1
307,307,195434,02552-000,03679-030,22018.4
308,308,195461,02552-000,03066-065,12711.9
309,309,195477,03345-000,01526-020,9985.2
310,310,195666,03526-000,03373-090,8400.5
311,311,196009,02552-000,06150-620,23678.8
312,312,196498,04715-002,02068-050,19351.1
313,313,197901,03622-010,04543-000,21649.7
314,314,197943,02552-000,03692-030,23556.7
315,315,198061,06075-180,04543-000,16539.8
316,316,198085,02721-200,05114-130,10597.8
317,317,198601,23073-200,26041-510,38393.3
318,318,198986,03345-000,04105-903,11271.2
319,319,199227,23073-200,24410-420,66719.5
320,320,199295,04715-002,04156-000,10003.5
321,321,199553,03221-000,02068-050,13917.2
322,322,199556,03345-000,02068-050,11422.3
323,323,199715,02721-200,06460-040,21441.2
324,324,200112,30421-284,31010-370,7964.3
325,325,201141,23073-200,20560-120,43729.8
326,326,192676,30421-284,35171-470,212858.0
327,327,193035,99040-000,91540-000,301380.3
328,328,193067,37800-000,34505-460,456647.3
329,329,195365,92120-140,95590-000,114729.6
330,330,195366,92120-140,95590-000,114729.6
331,331,197708,96170-000,96060-150,75231.8
332,332,198636,35701-004,37778-000,495619.5
333,333,198688,31030-035,35148-000,279373.5
334,334,198701,35701-004,36037-550,327870.3
335,335,199333,30421-284,36061-500,260641.3
336,336,200534,35701-004,39530-000,658705.3
337,337,203262,30421-284,37474-000,407001.5
338,338,194528,88117-402,88048-417,21193.9
339,339,194571,88117-402,88048-417,21193.9
340,340,195106,88117-402,88048-417,21193.9
341,341,195107,88117-402,88048-417,21193.9
